taxon,MS_PL,ID,CD,CP,AD,AP,outcrossing,selfcompatible,diploid,triploid,tetraploid,pentaploid,hexaploid,polyploid,one.EBN,two.EBN,four.EBN,six.EBN,mean.elev,sd.elev,mean.lat,sd.lat,mean.long,sd.long,Cls.cnt,Cls.mjr
Solanum_acaule,CP,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,3677.531208,747.9821449,-18.40125914,4.865424262,-68.83470944,3.768050531,10,Cwb
Solanum_acroglossum,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,3298.325581,1032.565868,-10.08623896,0.404088512,-76.18253857,0.443815153,3,Cfb
Solanum_acroscopicum,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,3135.051282,740.5729074,-13.97342799,4.233917398,-73.34977745,3.152272392,4,ET
Solanum_agrimonifolium,CP,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,2496.977099,606.6518688,15.10611552,2.733352729,-91.42633524,1.941087698,7,Cwb
Solanum_albicans,CP,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,3582.553398,592.6689314,-8.188263055,1.819631497,-77.95009151,0.929699406,6,Bsk
Solanum_albornozii,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,1973.6,524.1675941,-3.9960108,0.007015179,-79.28342,0.068038604,1,Cfb
Solanum_andreanum,CDCP,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,2835.498901,868.425721,-0.507487445,1.85697787,-78.05890299,1.221921487,8,Cfb
Solanum_ayacuchense,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,2987,779.3494438,-12.87699,0.111916624,-73.927142,0.091578365,2,Cfb
Solanum_berthaultii,IDCP,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,2531.357065,686.2861098,-20.07854059,2.538752146,-65.21900536,0.761372708,9,Cwb
Solanum_boliviense,ID,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,3556.90899,722.643349,-21.07541216,3.31696812,-66.17547019,1.692370011,8,Cwb
Solanum_bombycinum,CP,0,0,1,0,1,NA,NA,0,0,1,0,0,1,0,0,0,0,3128.5,1003.98321,-14.8772125,0.586385189,-68.7158375,0.451634501,3,ET
Solanum_brevicaule,CP,0,0,1,1,1,NA,NA,1,0,1,0,1,1,0,1,0,0,3219.57149,762.4261462,-20.76080885,4.060691193,-66.53820353,2.051080906,14,Cwb
Solanum_buesii,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,3255.075758,845.4993665,-13.17907314,0.274921289,-72.44469706,0.255153381,5,Cfc
Solanum_bulbocastanum,IDCP,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,2040.742656,435.6963441,18.82092977,1.71243055,-98.93235056,3.446987656,9,Cwb
Solanum_burkartii,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,2363.714286,493.7083904,-6.305728371,0.111914042,-78.57310646,0.315719678,2,Cwb
Solanum_cajamarquense,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,1,0,0,0,2652.951807,753.8037188,-7.239830986,0.288904708,-78.56132373,0.551093264,5,Bsk
Solanum_candolleanum,IDCP,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,3532.177587,709.6442331,-12.89316989,2.446709922,-73.46039783,2.349932848,13,ET
Solanum_cantense,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,3109.234783,896.1463533,-11.25800048,0.883942374,-76.76455869,0.495739303,6,ET
Solanum_chacoense,IDCP,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1089.365619,938.1130578,-26.09029547,4.703264191,-62.81584593,4.800180266,13,Cfa
Solanum_chilliasense,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,2158.4375,1188.792046,-3.53385875,0.123272955,-79.64543731,0.095924196,1,Aw
Solanum_chiquidenum,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,2764.30888,698.3571788,-7.430991712,0.935641813,-78.43532709,0.667914246,6,Bsk
Solanum_chomatophilum,ID,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,3260.017429,788.1944026,-8.124515531,1.86337738,-77.84983683,0.831495444,9,Cfb
Solanum_clarum,ID,1,0,0,1,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,3023.104167,472.3893367,15.17599948,0.31277563,-91.53940313,0.34616553,3,Cwb
Solanum_colombianum,CDCP,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,2753.846975,815.8241853,2.244051892,3.976518336,-76.49706941,2.657503091,9,Cfb
