taxon,MS_PL,ID,CD,CP,AD,AP,ploidy,outcrossing,selfcompatible,diploid,triploid,tetraploid,pentaploid,hexaploid,polyploid,one.EBN,two.EBN,four.EBN,six.EBN,mean.elev,sd.elev,mean.lat,sd.lat,mean.long,sd.long,Cls.cnt,Cls.mjr
Solanum_berthaultii,ID,1,0,1,1,1,both,1,0,1,1,0,0,0,1,0,1,0,0,2531.357065,686.2861098,-20.07854059,2.538752146,-65.21900536,0.761372708,9,Cwb
Solanum_laxissimum,ID,1,0,0,1,0,diploid,1,0,1,0,0,0,0,0,0,1,0,0,2629.224638,1115.466634,-12.23888143,1.526200417,-73.5235497,1.694189729,8,Cfb
Solanum_violaceimarmoratum,ID,1,0,0,1,0,diploid,1,0,1,0,0,0,0,0,0,1,0,0,2855.613043,1056.150951,-14.48932437,1.639817804,-70.32163998,2.710239485,8,Cfb
Solanum_hougasii,CP,0,0,1,0,1,polyploid,0,1,0,0,0,0,1,1,0,0,1,0,2484.229885,625.2065869,19.66482545,1.206694172,-102.9263781,1.102904139,5,Cwa
Solanum_verrucosum,CDCP,0,1,1,1,1,both,0,1,1,1,1,0,0,1,0,1,0,0,2722.129779,616.8086026,20.5834671,2.151142989,-100.1210307,1.710653339,8,Cwb
Solanum_demissum,CP,0,0,1,0,1,polyploid,0,1,0,0,0,0,1,1,0,0,1,0,3052.32638,612.1094013,19.37269149,1.579302619,-99.14346129,2.319885172,12,Cwb
Solanum_microdontum,ID,1,0,1,1,1,both,1,0,1,1,0,0,0,1,0,1,0,0,2188.850552,891.9477326,-24.06764755,3.35186029,-65.45161894,0.908791479,10,Cwb
Solanum_venturii,A,0,0,0,1,0,diploid,NA,NA,1,0,0,0,0,0,0,1,0,0,2669.336207,995.8395536,-25.49918218,1.766264937,-65.71797558,0.485560609,4,Cwb
Solanum_vernei,ID,1,0,0,1,0,diploid,1,0,1,0,0,0,0,0,0,1,0,0,2542.156479,967.2348474,-25.08078825,2.076050354,-65.52392567,0.594432975,7,Cwb
Solanum_brevicaule,CP,0,0,1,1,1,both,NA,NA,1,0,1,0,1,1,0,1,0,0,3219.57149,762.4261462,-20.76080885,4.060691193,-66.53820353,2.051080906,14,Cwb
Solanum_commersonii,CP,0,0,1,1,1,both,NA,NA,1,1,0,0,0,1,1,0,0,0,95.59352518,212.8882723,-33.13145953,3.428981878,-56.77286949,2.36494197,4,Cfa
Solanum_chacoense,IDCP,1,0,1,1,1,both,1,0,1,1,0,0,0,1,1,0,0,0,1089.365619,938.1130578,-26.09029547,4.703264191,-62.81584593,4.800180266,13,Cfa
Solanum_kurtzianum,ID,1,0,0,1,0,diploid,1,0,1,0,0,0,0,0,0,1,0,0,1626.147761,709.0770232,-30.04404464,2.443505239,-67.80648252,1.111635771,10,Bsk
Solanum_cajamarquense,A,0,0,0,1,0,diploid,NA,NA,1,0,0,0,0,0,1,0,0,0,2652.951807,753.8037188,-7.239830986,0.288904708,-78.56132373,0.551093264,5,Bsk
Solanum_acaule,CP,0,0,1,0,1,polyploid,0,1,0,0,1,0,1,1,0,1,0,0,3677.531208,747.9821449,-18.40125914,4.865424262,-68.83470944,3.768050531,10,Cwb
Solanum_limbaniense,A,0,0,0,1,0,diploid,NA,NA,1,0,0,0,0,0,0,1,0,0,3253.96875,757.3937134,-14.19691266,0.332618026,-69.56257478,0.19933371,4,ET
Solanum_multiinterruptum,CP,0,0,1,1,1,both,NA,NA,1,1,0,0,0,1,0,1,0,0,3324.220779,830.9212502,-10.72509948,1.037008329,-77.00844343,0.712878216,7,ET
Solanum_medians,CP,0,0,1,1,1,both,NA,NA,1,1,0,0,0,1,0,1,0,0,2454.227642,1319.277059,-13.01723406,2.38364304,-75.25631501,2.349790815,6,ET
Solanum_acroglossum,A,0,0,0,1,0,diploid,NA,NA,1,0,0,0,0,0,0,1,0,0,3298.325581,1032.565868,-10.08623896,0.404088512,-76.18253857,0.443815153,3,Cfb
Solanum_chomatophilum,ID,1,0,0,1,0,diploid,1,0,1,0,0,0,0,0,0,1,0,0,3260.017429,788.1944026,-8.124515531,1.86337738,-77.84983683,0.831495444,9,Cfb
Solanum_acroscopicum,A,0,0,0,1,0,diploid,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,3135.051282,740.5729074,-13.97342799,4.233917398,-73.34977745,3.152272392,4,ET
Solanum_paucissectum,A,0,0,0,1,0,diploid,NA,NA,1,0,0,0,0,0,0,1,0,0,2432.434211,848.3428762,-5.330876987,0.261523363,-79.49170995,0.186415662,5,Bsh
Solanum_sogarandinum,CP,0,0,1,1,1,both,NA,NA,1,1,0,0,0,1,0,1,0,0,3382.685535,665.5028473,-8.845409518,1.067103892,-77.66405448,0.547075631,5,Cfb
Solanum_andreanum,CDCP,0,1,1,1,1,both,0,1,1,0,1,0,0,1,0,1,0,0,2835.498901,868.425721,-0.507487445,1.85697787,-78.05890299,1.221921487,8,Cfb
Solanum_albornozii,A,0,0,0,1,0,diploid,NA,NA,1,0,0,0,0,0,0,1,0,0,1973.6,524.1675941,-3.9960108,0.007015179,-79.28342,0.068038604,1,Cfb
Solanum_bulbocastanum,IDCP,1,0,1,1,1,both,NA,NA,1,1,0,0,0,1,1,0,0,0,2040.742656,435.6963441,18.82092977,1.71243055,-98.93235056,3.446987656,9,Cwb
Solanum_polyadenium,CD,0,1,0,1,0,diploid,0,1,1,0,0,0,0,0,NA,NA,NA,NA,2097.158103,317.4121405,19.64290407,0.634465522,-100.0625224,1.674794953,7,Cwb
