"taxon","mean.elev","sd.elev","mean.lat","sd.lat","mean.long","sd.long","n","ci.elev.low","ci.elev.up","ci.lat.low","ci.lat.up","ci.long.low","ci.long.up"
"Solanum_acaule",3677.53120805369,747.982144877764,-18.4012591423836,4.86542426219192,-68.8347094432483,3.76805053133607,2980,3650.66491931284,3704.39749679454,-18.5760171816896,-18.2265011030775,-68.970051622548,-68.6993672639487
"Solanum_acroglossum",3298.32558139535,1032.56586832282,-10.0862389604651,0.404088512026316,-76.1825385662791,0.443815152625072,43,2980.54871195243,3616.10245083827,-10.2105990485418,-9.96187887238846,-76.3191247097293,-76.0459524228289
"Solanum_acroscopicum",3135.05128205128,740.572907350945,-13.9734279857692,4.23391739776699,-73.3497774537179,3.15227239164214,78,2968.07789144574,3302.02467265683,-14.9280288581908,-13.0188271133477,-74.0605050594948,-72.6390498479411
"Solanum_agrimonifolium",2496.97709923664,606.651868780606,15.1061155229008,2.73335272888294,-91.426335240458,1.94108769835666,262,2423.17724523588,2570.7769532374,14.7736002160088,15.4386308297927,-91.6624706520728,-91.1901998288432
"Solanum_albicans",3582.55339805825,592.668931391542,-8.18826305512945,1.81963149749565,-77.9500915072168,0.92969940567685,309,3516.2110366986,3648.8957594179,-8.39194953834837,-7.98457657191054,-78.0541604918731,-77.8460225225605
"Solanum_albornozii",1973.6,524.167594063832,-3.9960108,0.0070151787337648,-79.28342,0.068038604238084,25,1757.23425131193,2189.96574868807,-3.99890652345964,-3.99311507654036,-79.3115049554844,-79.2553350445156
"Solanum_andreanum",2835.4989010989,868.425721019538,-0.507487444615385,1.85697787035757,-78.0589029868132,1.22192148702373,455,2755.49072098174,2915.50708121606,-0.678571069074051,-0.336403820156718,-78.1714787800636,-77.9463271935628
"Solanum_ayacuchense",2987,779.349443802686,-12.87699,0.111916624224365,-73.927142,0.0915783650821073,10,2429.48699321135,3544.51300678865,-12.9570503300318,-12.7969296699682,-73.992653215899,-73.861630784101
"Solanum_berthaultii",2531.35706462212,686.286109839066,-20.0785405892662,2.53875214639711,-65.2190053581599,0.761372707503221,913,2486.78172542683,2575.93240381742,-20.2434364489317,-19.9136447296006,-65.26845768745,-65.1695530288698
"Solanum_boliviense",3556.9089900111,722.64334897212,-21.0754121591343,3.3169681196115,-66.1754701936293,1.69237001075262,1802,3523.52127709314,3590.29670292906,-21.2286633853348,-20.9221609329338,-66.2536614122302,-66.0972789750284
"Solanum_bombycinum",3128.5,1003.98320987668,-14.8772125,0.586385188951281,-68.7158375,0.451634501204869,8,2289.14903157814,3967.85096842186,-15.3674427860971,-14.3869822139029,-69.0934133919371,-68.3382616080629
"Solanum_brevicaule",3219.57148963454,762.426146219293,-20.7608088454627,4.06069119288759,-66.5382035253601,2.05108090599782,4679,3197.71996565138,3241.42301361769,-20.8771903355645,-20.6444273553609,-66.5969885550067,-66.4794184957136
"Solanum_buesii",3255.07575757576,845.499366521276,-13.1790731409091,0.274921288698053,-72.4446970572727,0.255153381054428,66,3047.226070967,3462.92544418451,-13.2466572290357,-13.1114890527825,-72.5074215871651,-72.3819725273804
"Solanum_bulbocastanum",2040.74265569918,435.696344125394,18.8209297696827,1.71243055031723,-98.9323505640423,3.44698765628352,851,2011.42791415379,2070.05739724456,18.7057131522522,18.9361463871133,-99.1642725289992,-98.7004285990854
"Solanum_burkartii",2363.71428571429,493.708390439049,-6.30572837142857,0.111914042167372,-78.5731064571429,0.315719678231511,35,2194.11951984584,2533.30905158273,-6.34417218997881,-6.26728455287834,-78.681559961168,-78.4646529531177
"Solanum_cajamarquense",2652.95180722892,753.803718768766,-7.23983098624096,0.28890470771727,-78.5613237337349,0.55109326390935,83,2488.35418263089,2817.54943182694,-7.30291508551169,-7.17674688697024,-78.6816582981752,-78.4409891692947
"Solanum_candolleanum",3532.17758726271,709.644233062564,-12.8931698940254,2.4467099223968,-73.4603978288947,2.349932847599,3266,3507.83079757105,3556.52437695436,-12.9771127052845,-12.8092270827663,-73.5410203692669,-73.3797752885225
"Solanum_cantense",3109.2347826087,896.146353281012,-11.2580004832348,0.883942374172048,-76.7645586886087,0.495739302795879,115,2943.69102506065,3274.77854015675,-11.4212898182197,-11.0947111482499,-76.8561358586196,-76.6729815185978
"Solanum_chacoense",1089.36561866126,938.11305783419,-26.0902954652383,4.70326419091005,-62.8158459318458,4.80018026597258,1972,1047.93546058812,1130.7957767344,-26.2980070808713,-25.8825838496053,-63.0278376801091,-62.6038541835826
"Solanum_chilliasense",2158.4375,1188.79204622451,-3.53385875,0.123272954529099,-79.6454373125,0.0959241958817627,16,1524.97493332742,2791.90006667258,-3.59954627072771,-3.46817122927229,-79.6965517084301,-79.5943229165699
"Solanum_chiquidenum",2764.30888030888,698.35717880208,-7.43099171231274,0.935641812797095,-78.4353270923166,0.667914245866816,259,2678.85774195269,2849.76001866507,-7.5454770507957,-7.31650637382978,-78.5170532266875,-78.3536009579457
"Solanum_chomatophilum",3260.0174291939,788.194402588399,-8.12451553117865,1.86337737997035,-77.8498368302941,0.831495444347164,918,3208.96296821417,3311.07189017363,-8.24521383533279,-8.00381722702451,-77.9036960705765,-77.7959775900117
"Solanum_clarum",3023.10416666667,472.389336699691,15.1759994791667,0.312775630485985,-91.539403125,0.346165530253567,192,2955.85945833163,3090.3488750017,15.1314758110558,15.2205231472776,-91.5886798514396,-91.4901263985604
"Solanum_colombianum",2753.84697508897,815.824185262152,2.24405189205219,3.97651833620297,-76.4970694092527,2.65750309098536,843,2698.69569384398,2808.99825633395,1.97523161790783,2.51287216619656,-76.67672172041,-76.3174170980954
"Solanum_commersonii",95.5935251798561,212.88827225215,-33.1314595323741,3.42898187783978,-56.7728694856115,2.36494196990797,556,77.8593678823103,113.327682477402,-33.4171028106474,-32.8458162541008,-56.9698754195234,-56.5758635516997
"Solanum_contumazaense",2751.89473684211,376.250049056747,-7.37488147368421,0.0255421789972943,-78.8892651052632,0.0632961388825001,19,2570.5480181079,2933.24145557631,-7.38719240988766,-7.36257053748076,-78.9197728676506,-78.8587573428757
"Solanum_demissum",3052.3263803681,612.109401327207,19.3726914871166,1.57930261925739,-99.1434612865031,2.31988517157091,1630,3022.58876499424,3082.06399574196,19.2959655068448,19.4494174673883,-99.2561663892087,-99.0307561837974
"Solanum_flahaultii",3080.08045977011,704.209984843494,5.52256520689655,1.18512117430774,-73.4053967356322,0.978055567802669,87,2929.99294758931,3230.16797195092,5.26998161320585,5.77514880058725,-73.6138486606339,-73.1969448106304
"Solanum_gandarillasii",2087.4,469.440135497942,-18.40544588,0.416482159584818,-64.95677194,0.633062261503249,50,1953.986589648,2220.813410352,-18.5238088001241,-18.2870829598759,-65.1366862440522,-64.7768576359478
"Solanum_garcia-barrigae",2762.88235294118,1118.48490615391,8.78726176470588,1.34899967025216,-73.3691647058824,0.30188874801236,17,2187.81047873969,3337.95422714267,8.09367013517132,9.48085339424045,-73.5243815775313,-73.2139478342334
"Solanum_gracilifrons",2514.27777777778,425.31466628777,-12.3712459444444,0.0109030376041148,-74.6518120555556,0.0199696915539889,18,2302.77377011122,2725.78178544433,-12.3766678974872,-12.3658239914017,-74.6617427495342,-74.6418813615769
"Solanum_guerreroense",1266.8,17.4413302244984,17.55184,0.00411436507859956,-99.5,0,5,1245.14372817946,1288.45627182054,17.5467313410064,17.5569486589936,-99.5,-99.5
