id,taxon,Lon,Lat,elevation,elev_n00w060,elev_n00w090,elev_n00w120,elev_n30w120,elev_s30w060,elev_s30w090,elev_s60w060,elev_s60w090
9620,Solanum_hjertingii,-115.128,32.5082,17,NA,NA,NA,17,NA,NA,NA,NA
516873,Solanum_stoloniferum,-115.1272,32.598,18,NA,NA,NA,18,NA,NA,NA,NA
496178,Solanum_demissum,-117.072,32.5026,203,NA,NA,NA,203,NA,NA,NA,NA
496179,Solanum_demissum,-117.072,32.5026,203,NA,NA,NA,203,NA,NA,NA,NA
496180,Solanum_demissum,-117.072,32.5026,203,NA,NA,NA,203,NA,NA,NA,NA
60935,Solanum_candolleanum,-94.4153,39.0936,316,NA,NA,NA,316,NA,NA,NA,NA
6904,Solanum_stoloniferum,-112.122,33.6852,421,NA,NA,NA,421,NA,NA,NA,NA
7203,Solanum_stoloniferum,-99.9018,31.9686,571,NA,NA,NA,571,NA,NA,NA,NA
527593,Solanum_stoloniferum,-109.887,32.9332,848,NA,NA,NA,848,NA,NA,NA,NA
6914,Solanum_stoloniferum,-109.828,32.8962,867,NA,NA,NA,867,NA,NA,NA,NA
6926,Solanum_stoloniferum,-109.828,32.8962,867,NA,NA,NA,867,NA,NA,NA,NA
120445,Solanum_stoloniferum,-103.8,30.92,1048,NA,NA,NA,1048,NA,NA,NA,NA
110624,Solanum_stoloniferum,-103.8,30.92,1048,NA,NA,NA,1048,NA,NA,NA,NA
530512,Solanum_stoloniferum,-111.787,32.097,1066,NA,NA,NA,1066,NA,NA,NA,NA
120446,Solanum_stoloniferum,-103.8,30.88,1114,NA,NA,NA,1114,NA,NA,NA,NA
58677,Solanum_iopetalum,-106.446,31.7463,1127,NA,NA,NA,1127,NA,NA,NA,NA
48785,Solanum_verrucosum,-106.414,31.6147,1181,NA,NA,NA,1181,NA,NA,NA,NA
48786,Solanum_verrucosum,-106.414,31.6147,1181,NA,NA,NA,1181,NA,NA,NA,NA
516870,Solanum_stoloniferum,-107.3166,30.8333,1227,NA,NA,NA,1227,NA,NA,NA,NA
121394,Solanum_stoloniferum,-110.42,32.25,1229,NA,NA,NA,1229,NA,NA,NA,NA
121395,Solanum_stoloniferum,-110.42,32.25,1229,NA,NA,NA,1229,NA,NA,NA,NA
111573,Solanum_stoloniferum,-110.42,32.25,1229,NA,NA,NA,1229,NA,NA,NA,NA
111574,Solanum_stoloniferum,-110.42,32.25,1229,NA,NA,NA,1229,NA,NA,NA,NA
527592,Solanum_stoloniferum,-110.8443,31.524397,1233,NA,NA,NA,1233,NA,NA,NA,NA
530394,Solanum_stoloniferum,-106.6833,31.7,1237,NA,NA,NA,1237,NA,NA,NA,NA
530395,Solanum_stoloniferum,-106.6833,31.7,1237,NA,NA,NA,1237,NA,NA,NA,NA
7207,Solanum_stoloniferum,-110.749,31.5433,1243,NA,NA,NA,1243,NA,NA,NA,NA
7052,Solanum_stoloniferum,-110.422,32.2549,1244,NA,NA,NA,1244,NA,NA,NA,NA
7141,Solanum_stoloniferum,-110.422,32.2549,1244,NA,NA,NA,1244,NA,NA,NA,NA
121377,Solanum_stoloniferum,-110.75,31.54,1254,NA,NA,NA,1254,NA,NA,NA,NA
111556,Solanum_stoloniferum,-110.75,31.54,1254,NA,NA,NA,1254,NA,NA,NA,NA
